TIMESTAMP;LOJA_ACCERA;LOJA_SPOT;SKU_PERNOD_UNICO;NOME_SKU;KEY_BRAND;FORMATO_LOJA;PROMOTOR;QUADRANTE_NIELSEN;REDE;BANDEIRA;ESTADO;CIDADE;ALARME_RUPTURA
2019-09-11 01:50:19.479251;1031;8881;OR1;ORLOFF REGULAR 1L;ORLOFF;HIPERMERCADO;victor.coimbra@artefact.com;;CARREFOUR;HIPER;SP;SAO PAULO;1.0
2019-09-11 01:50:19.479251;1058;8817;CH8;CHIVAS REGAL 12YO 1L;CHIVAS 12;HIPERMERCADO;ricardo.kim@artefact.com;;CARREFOUR;HIPER;SP;CAMPINAS;1.0
2019-09-11 01:50:19.479251;1066;9226;BAF;BALLANTINES FINEST 1L;BALLANTINES FINEST;HIPERMERCADO;tadeu.passos@artefact.com;;CARREFOUR;HIPER;SP;SAO PAULO;1.0
2019-09-11 01:50:19.479251;1082;8247;BAF;BALLANTINES FINEST 1L;BALLANTINES FINEST;HIPERMERCADO;victor.coimbra@artefact.com;;CARREFOUR;HIPER;MG;CONTAGEM;1.0
2019-09-11 01:50:19.479251;1104;9248;OR1;ORLOFF REGULAR 1L;ORLOFF;HIPERMERCADO;ricardo.kim@artefact.com;;CARREFOUR;HIPER;SP;SAO PAULO;1.0
2019-09-11 01:50:19.479251;1104;9248;PA6;PASSPORT 670ML;PASSPORT;HIPERMERCADO;tadeu.passos@artefact.com;;CARREFOUR;HIPER;SP;SAO PAULO;1.0
2019-09-11 01:50:19.479251;1147;9393;BEF;BEEFEATER 750ML;BEEFEATER;HIPERMERCADO;victor.coimbra@artefact.com;;CARREFOUR;HIPER;PR;CURITIBA;1.0
2019-09-11 01:50:19.479251;1147;9393;CH7;CHIVAS REGAL 12YO 750ML;CHIVAS 12;HIPERMERCADO;ricardo.kim@artefact.com;;CARREFOUR;HIPER;PR;CURITIBA;1.0
2019-09-11 01:50:19.479251;1147;9393;PA6;PASSPORT 670ML;PASSPORT;HIPERMERCADO;tadeu.passos@artefact.com;;CARREFOUR;HIPER;PR;CURITIBA;1.0
2019-09-11 01:50:19.479251;1147;9393;PAP;PASSPORT 1L;PASSPORT;HIPERMERCADO;victor.coimbra@artefact.com;;CARREFOUR;HIPER;PR;CURITIBA;1.0
2019-09-11 01:50:19.479251;1171;9263;CH7;CHIVAS REGAL 12YO 750ML;CHIVAS 12;HIPERMERCADO;ricardo.kim@artefact.com;;CARREFOUR;HIPER;SP;RIBEIRAO PRETO;1.0
2019-09-11 01:50:19.479251;1171;9263;CH8;CHIVAS REGAL 12YO 1L;CHIVAS 12;HIPERMERCADO;tadeu.passos@artefact.com;;CARREFOUR;HIPER;SP;RIBEIRAO PRETO;1.0
2019-09-11 01:50:19.479251;1210;8222;PAP;PASSPORT 1L;PASSPORT;HIPERMERCADO;victor.coimbra@artefact.com;;CARREFOUR;HIPER;GO;GOIANIA;1.0
2019-09-11 01:50:19.479251;1236;9541;PAP;PASSPORT 1L;PASSPORT;HIPERMERCADO;ricardo.kim@artefact.com;;CARREFOUR;HIPER;MG;UBERLANDIA;1.0
2019-09-11 01:50:19.479251;1252;9222;BEF;BEEFEATER 750ML;BEEFEATER;HIPERMERCADO;tadeu.passos@artefact.com;;CARREFOUR;HIPER;SP;SOROCABA;1.0
